Positivos,Negativos
"""Ok""","""O sistema de troca de mercadoria é pré-histórico, burocrático e demorado, o atendimento não é personalizado um sistema padrão de e-mail que leva 24 horas para se ter uma resposta de cada intervenção. Para uma loja desse porte é ultrajante a forma como é tratado o cliente que pagou à vista por uma mercadoria que já está a quase 7 dias para se definir pela troca, ainda tive que pagar o frete de devolução, não sei como tratar essa questão. Quero deixar claro que o erro foi da Pichau que enviou mercadoria equivocada."""
"""Ok""","""compra parcelado no cartão de credito saiu com juros não concordo."""
"""Foi minha primeira compra nesse site, eu amei. Além da opção de desconto pagando a vista, gostei de poder montar meu computador como eu queria, além disso a entrega foi extremamente rápida. O produto chegou bem embalado e com um certificado de qualidade e estabilidade, comprovando que tudo foi testado. Gostei muito e já indiquei para vários amigos.""","""Sempre falta produto, das lojas é a mais cara sempre e pela primeira vez vi algo que o preço era mais em conta que outras lojas."""
"""Entrega Rápida e Produto de qualidade""","""Comprei dia 27/11, hoje dia 29/12 ainda estou sem meu produto, me informaram que foi entregue porém não pra mim, já me deram vários prazos pra acareação e resolução com o reenvio e indenização e até agora nada, a situação está ficando ridícula, a pichau a todo momento transferindo a responsabilidade para a transportadora e a mesma parece não estar nem ai."""
"""Bom""","""Extrema dificuldade para compra, produto com defeito e ainda maior dificuldade no processo de sac/RMA. Muito difícil mesmo. """
"""Ponto positivo é p pós venda. Bom atendimento e confiável. Ponto negativo, preços (mercado em geral), e o rastreio do produto não é em tempo real.""","""Comprei uma placa mãe e enviaram uma diferente da nota fiscal, até o processo de troca ser concluído tive que esperar mais 12 dias além de ter que perder tempo no transito e na fila do correio e ainda ter o carro arranhado, sendo que eu nem estaria lá naquele momento se não fosse a empresa enviar o produto errado e após pedir algo pra compensar me ofereceram um cooler básico que é totalmente desproporcional ao estrago do veiculo e todo transtorno causado pela própria Pichau. E em outra compra que o produto após alguns meses de uso queimou foi uma baita confusão por falta de atenção do atendente quanto ao valor do crédito e da diferença de preço à ser paga para fazer outra compra."""
"""Produtos de otima qualidade""","""Já havia realizado algumas compras na Pichau, sem problemas. Porém, na última compra, tive o infortúnio de receber produtos os quais eu não havia comprado, ou seja, enviaram errado. Daí em diante iniciou-se um processo um pouco confuso e burocrático para reenviar, tudo bem, parte do sistema de segurança da loja. Minha sugestão fica na forma como ocorre a tratativa do cliente, a sensação que tive foi a de que estavam o tempo todo desconfiando de mim e/ou me tratando como uma criança. Frases que pareciam intimidar ou tentar reprimir algum comportamento. Por fim, não houve sequer um pedido de desculpa pelo transtorno, nem ao menos a tentativa de compensar de alguma forma. Ou seja, loja boa quando tudo funciona, mas quando as coisas derem errado, pode ser uma dor de cabeça, e isso conta muito."""
"""ateh agora ok""","""Site meio bugado, o carrinho de compras fica vazio se tu clica no botão do canto, tem que incluir um produto para ir ao carrinho. Além de vários outros erros. Poderiam ao menos testar o site."""
"""A pichau informática, mais uma vez com produtos/preços excelentes. Sempre recebo produtos sem problema algum""","""A cadeira veio com a flange ou estragada ou velha. Está rangendo quando senta nela. Não sei bem o que está acontecendo. O que poderia ser feito? Mas é uma cadeira gamer confortável. Pelo valor que paguei, recomendo. A Pichau é uma loja boa. """
"""muito bom! chegou tudo direitinho e nos conformes do anuncio""","""Fiquei chateado pois foi minha primeira compra na loja e não tive cupom de desconto para primeira compra."""
"""Muito boa a loja conheço a tempos, mas tem q melhorar o algoritmo de busca pq pesquisa por um item aparece vários sendo alguns nada haver""","""Falam que tem um desconto do Monte seu PC, porém, todos os produtos que você adiciona mostram um valor superior do que se comprar avulso. Não mostram a taxa de montagem, que deve ser isso, mas eu acho que tinha que ficar mais claro esse valor pra gente, e não embutidos nas peças, é bem esquisito. Mas eu comprei por ser o melhor lugar com essa ferramenta em questão e por comodidade de estar aqui em casa fazendo a compra, sem ter que ir até uma loja etc..."""
"""Oferta do produto adquirido, visto que os preços estão elevados.""","""preco da cadeira dobrou!!!!!!!!!"""
"""A loja é muito boa, com preços bons e variedade de produtos. Apenas precisam ficar mais atentos no pós venda (pessoal que compra hardware é bem ansioso). ""","""Comprei um computador e enviaram o errado, agora estou pagando a diferença não planejada."""
"""A busca e a compra são bem facilitadas, quero ver a entrega e os procedimentos que envolvem isso para que seja nota 10""","""A essa altura, não ter recebimento por PIX é pura incompetência de getao do negocio, o PIX nao tem taxa e a confirmação é imediata. Temos que usar boleto e esperar 48 horas para confirmar pagamento, atrasadíssimos para uma loja ""Online"" """
"""Muito bom ""","""Usei o computador duas semanas e deu problema, esperando o PC chegar novamente para ver se vai ficar bom e espero que não me cobrem o frete de ida pois aí vai ser sacanagem"""
"""Ótimo preço, facilidade ma compra, suporte me atendeu super bem!""","""Site com o rastreio do produto não funcionou direito."""
"""Ótimo atendimento online ""","""Comprei um teclado mecânico da marca Pichau que não era reconhecido ao ligar o computador. Somente depois de reclamar (e tentar devolver o produto), enviaram um link para atualizar o firmware, e só depois da atualização, funcionou corretamente."""
"""Facilidade de navegação, muita informação do produto, variedades e preços.""","""Pichau é mal conheçida , só arrisquei pelo preço vamos ver se entrega bem """
"""Melhor empresa de eletrônicos e periféricos gamer ""","""Preço dos fretes muito alto mesmo sendo para o nordeste"""
"""Informações bem completqs sobre os equipamentos. Nota 10.""","""Comprei um PC montado pela Pichau, o mesmo chegou com defeito em casa ( não apresentando imagem), mandei para eles novamente e estou aguardando o produto até agora, quase 30 dias que o produto está com eles e até agora nada, farias reclamações abertas no reclame aqui e trocas de emails com eles, ninguém resolve meu problema. Ainda estou sem o produto."""
"""Preços bons bastante informação sobre o produto e frete bem satisfatório ""","""Comprei as peças para montar um computador e quando fui montar, para minha surpresa a placa de video da marca AFOX veio com defeito de fabrica e fiz os procedimentos de devolução no dia seguinte. A pichau não atende telefone conversas somente por email. A primeira proposta q me fizeram quando a mercadoria chegou para eles e constataram defeito de fabricação foi que iam enviar o produto para garantia, isso eles não deveriam nem se quer propor pois a devolução ocorreu imediatamente por conta de defeito, o correto era me propor envio de outra ou me estornar o pagamento proposta que partiu da minha parte. Eu já comprei muito da pichau e já indiquei também e hoje vi que a pichau não presa por fidelizar ou atender com respeito seus clientes, pela proposta q fazem de inicio acham q seus clientes não entendem o mínimo de leis do consumidor. Aguardo estorno em meu cartão e não compro novamente."""
"""Preço muito bom""","""Deviam dar frete grátis"""
"""Muito boa a variedade de produtos. ""","""Atendimento pós venda é muito complicado. Quando você consegue falar com alguém essa pessoa não repassa a ligação ao setor responsável, sempre quer que você resolva por email, apesar de estar falando com um atendente que logo quer encerrar a ligação dizendo aquele frase: ""algo mais que eu possa ajudar?"" e desliga na sua cara mesmo depois de você ter ficado um tempão esperando ser atendido. Demonstram que você não tem importância nenhuma depois da compra. A loja tem bons produtos e bons preços mas precisa melhorar o relacionamento com o cliente. Lamentável."""
"""Facil layout com informações precisas""","""O site é horrível o sistema de navegação, não tem uma opção de filtros. """
